,Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q3,Q4,Q5,Q6,Q7,Q8,Q9
0,4039125.03,3079555.21,686085.86,3309051.03,2776039.52,2261233.67,2514280.6,204086.64,109694875099.53,26098002.04,3762316.77,86538.67,175679962867.56,5217151.04,886198.74,4043366.01,2884548.24,2834048.95,2564026.19,2671380.91,2693064.5,4730218.01
1,1964751.33,3077902.14,686085.86,3309440.6,2968927.27,2260516.03,2471618.13,392605.99,125423914475.58,26098002.04,3757079.31,523442.29,175679962867.56,5217151.04,886198.74,3980291.4,2884370.13,2818485.95,2564485.64,2956619.39,2378692.75,4256159.17
2,3091947.15,3085329.49,686085.86,3308866.09,2803768.62,2260996.25,2466021.92,392617.65,115290783339.08,26098002.04,3776406.31,523036.65,135724841246.26,5217151.04,886198.74,3517787.11,2884759.82,2834634.53,2578412.61,2288389.68,2693077.43,2841102.15
3,2642048.19,3103421.98,686085.86,3308246.29,2941671.62,2261349.99,2467956.46,392609.17,109635950126.84,26098002.04,3755526.59,86538.67,249096945787.74,5217151.04,886198.74,2763778.49,2885480.35,2834344.22,2568599.96,2957551.85,2691755.47,4256159.17
4,2994507.35,3616384.35,686085.86,3308895.38,2776039.52,2261190.5,2478620.1,392636.01,110755524607.9,26098002.04,3772751.27,86538.67,249096945787.74,5217151.04,886198.74,2652962.11,2885558.72,2833341.29,2569534.29,2954141.98,2693236.59,4412167.65
5,3686784.47,3080474.73,686085.86,3308232.61,2886471.09,2260531.31,2477208.72,392591.73,108044975864.28,26098002.04,3772746.29,86538.67,249096945787.74,5217151.04,886198.74,2889624.94,2885257.06,2834152.71,2585304.07,2954762.04,2693136.04,4574211.42
6,4119294.83,3089404.38,686085.86,3309622.19,2665819.25,2263777.33,2483909.27,392600.8,117883482137.33,26098002.04,3772585.29,522631.0,249096945787.74,5217151.04,886198.74,2717513.83,2885682.47,2833736.8,2580120.81,2955057.53,2692923.23,4412167.65
7,2716059.87,3101795.73,686085.86,3308374.43,2776039.52,2257100.19,2469450.16,392593.36,122654440759.27,26098002.04,3772926.2,522225.35,175679962867.56,5217151.04,886198.74,4174729.57,2885917.43,2835568.35,2583834.38,2894369.03,2692993.4,4256159.17
8,2710469.79,3092458.88,686085.86,3309392.1,2996744.78,2259392.83,2471618.13,199907.18,111285849362.09,26098002.04,3762846.89,522833.82,249096945787.74,5217151.04,886198.74,3149802.48,2886099.03,2834804.66,2583392.17,2928951.46,2693130.03,3008321.24
9,2820262.19,3093405.55,686085.86,3309541.85,1526952.72,2263527.71,2114130.82,392607.64,126072089175.14,26098002.04,3752236.03,86538.67,249096945787.74,5217151.04,886198.74,3894025.02,2885394.12,2834585.63,2586445.28,2956456.56,2693038.29,4256159.17
10,2440449.91,3098927.59,686085.86,3340499.15,2886471.09,2261576.46,2456527.31,203695.8,128546938028.02,26098002.04,3770590.22,86538.67,249096945787.74,5217151.04,886198.74,2638236.91,2885720.05,2834534.95,2573998.48,2954970.68,2673108.9,4730218.01
11,2781911.55,3093367.91,686085.86,3340377.54,2941671.62,2257305.57,2475134.37,392660.16,118708431754.96,26098002.04,3750009.79,86538.67,206036695296.64,5217151.04,886198.74,4690558.05,2885192.48,2834738.77,2593082.97,2956417.87,2693087.43,4412167.65
12,1964751.33,3082325.71,686085.86,3310026.23,2886471.09,2261851.86,2483081.82,392635.36,108339600727.72,26098002.04,3773748.69,523036.64,206036695296.64,5217151.04,886198.74,3193527.89,2884940.77,2822549.65,2584001.65,2956537.26,2679775.45,4574211.42
13,3117211.51,3093489.22,686085.86,3310368.98,2721176.02,2260255.39,2480043.62,392679.33,114524758694.15,26098002.04,3770891.76,86538.67,175679962867.56,5217151.04,886198.74,2733176.18,2884553.54,2833840.81,2600898.6,2954807.62,2692769.53,4574211.42
14,2361086.23,3587319.35,686085.86,3308388.55,2721176.02,2260483.09,2135304.69,392642.62,111816174116.28,26098002.04,3765281.61,86538.67,314944831996.13,5217151.04,886198.74,3659548.2,2884541.99,2833741.82,2584853.24,2954844.47,2692933.71,4412167.65
15,3895824.11,3633306.9,686085.86,3311146.81,3107569.97,2240789.1,2495297.62,392587.98,117235307437.77,26098002.04,3767017.43,86538.67,314944831996.13,5217151.04,886198.74,4651632.72,2885822.68,2833740.85,2573979.8,2954942.5,2692924.91,4730218.01
16,3497977.55,3597772.19,686085.86,3308995.91,2721176.02,2260369.95,2497224.27,203852.9,108339600727.72,26098002.04,3754693.37,86538.67,175679962867.56,5217151.04,886198.74,2588578.43,2885124.9,2832621.42,2606769.19,2954493.29,2692965.07,4412167.65
17,3742368.15,3617930.89,686085.86,2685723.25,2886471.09,2259576.94,2474025.97,392642.93,124245415021.83,26098002.04,3769539.59,522833.82,249096945787.74,5217151.04,886198.74,2824003.55,2884767.72,2833677.65,2570254.53,2954966.35,2692994.31,4412167.65
18,3007407.59,3093282.99,686085.86,3310858.34,1526952.72,2260996.25,2474642.49,392636.72,120240481044.83,26098002.04,3753478.54,522833.81,428179022173.15,5217151.04,886198.74,2956625.14,1709741.27,2813242.78,2581938.52,2956905.4,2693067.35,4100156.92
19,2516661.39,3604971.65,686085.86,3309083.24,2858893.23,2260791.03,2490002.11,202677.76,114996158475.65,26098002.04,3779780.93,522428.18,121871802384.66,5217151.04,886198.74,4340659.58,2885020.59,2833683.68,2584343.97,2958609.34,2692882.25,4100156.92
20,1964751.33,3092498.74,686085.86,3309569.43,2528769.98,2257981.95,2477479.2,392614.77,120476180935.58,26098002.04,3762313.51,86538.67,249096945787.74,5217151.04,886198.74,3521164.84,2885827.98,2833583.43,2589306.71,2956423.82,2692963.81,4886226.59
21,3794258.87,3100851.21,686085.86,3296131.93,2556366.71,2263976.82,2469509.47,204086.64,125423914475.58,26098002.04,3764564.97,522225.34,121871802384.66,5217151.04,886198.74,2991961.5,2885273.49,2834006.36,2577489.06,2954863.53,2693133.63,4730218.01
22,4237285.19,3604159.65,686085.86,3340477.94,2886471.09,2260542.35,2355492.81,199907.18,109341325263.4,26098002.04,3764637.96,86538.67,121871802384.66,5217151.04,886198.74,3037189.73,2885451.26,2834473.2,2590259.79,2955848.04,2693145.93,4412167.65
23,4231452.03,3097075.63,686085.86,3308102.91,2886471.09,2261486.45,2466258.04,392650.07,125482839448.27,26098002.04,3770308.45,522428.18,314944831996.13,5217151.04,886198.74,3356630.67,2884742.43,2832976.6,2576790.5,2870135.36,2692752.3,4256159.17
24,2701451.07,3101892.35,686085.86,3309623.91,2583621.04,2261505.09,2114992.29,392594.47,124893589721.39,26098002.04,3767849.05,522428.17,135724841246.26,5217151.04,886198.74,2772704.98,2885537.03,2833939.4,2596114.1,2924222.8,2692965.05,4574211.42
25,3096012.71,3099888.59,686085.86,3308846.11,2748513.45,2261582.39,2460754.25,392630.55,113878548160.34,26098002.04,3757881.31,523036.65,249096945787.74,5217151.04,886198.74,6670913.36,2885217.92,2833098.63,2588213.5,2956381.16,2692923.14,2841102.15
26,4024218.11,3099953.49,686085.86,3308809.26,2831138.12,2237977.11,2261786.29,203392.06,116233582902.08,26098002.04,3763817.76,522428.18,314944831996.13,5217151.04,886198.74,3557990.12,2884956.59,2833991.37,2590279.11,2953023.02,2693120.76,4100156.92
27,2983527.55,3094959.6,686085.86,3308047.98,2886471.09,2238384.56,2486821.78,204791.11,118885206673.02,26098002.04,3753619.91,523442.29,175679962867.56,5217151.04,886198.74,4933825.45,2885288.37,2833636.78,2605543.96,2921831.75,2692901.33,4574211.42
28,3944764.15,3096256.97,686085.86,3339832.03,2941671.62,2260757.61,2469990.41,392594.42,118885206673.02,26098002.04,3763256.07,522225.35,206036695296.64,5217151.04,886198.74,4108843.37,2885462.84,2833939.4,2564968.87,2954899.5,2692456.55,4568174.19
29,2835826.91,3623828.42,686085.86,3309319.63,2556366.71,2262523.57,2478480.08,392725.77,118767356727.65,26098002.04,3768752.46,521616.88,135724841246.26,5217151.04,886198.74,4276282.29,2885613.66,2833454.6,2564936.91,2956082.08,2692629.87,4574211.42
